epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,112.239,2.34808,5.39352,2.03607,0.62623,0.00795,0.01061,0.00815,2.93269,4.74023,2.44805,3.2448e-05,3.2448e-05,3.2448e-05
42,114.815,2.38706,5.48213,2.07116,0.61831,0.00795,0.01099,0.0085,2.99968,4.73213,2.47609,2.93592e-05,2.93592e-05,2.93592e-05
43,117.347,2.5205,6.14159,2.11294,0.56161,0.00974,0.00987,0.00732,3.00857,4.72137,2.46375,2.62704e-05,2.62704e-05,2.62704e-05
44,119.839,2.41067,6.09164,2.08827,0.54508,0.01194,0.00968,0.00714,3.01164,4.72661,2.46128,2.31816e-05,2.31816e-05,2.31816e-05
45,122.307,2.21565,5.21245,1.9454,0.54649,0.01194,0.01012,0.00759,3.00997,4.72466,2.4655,2.00928e-05,2.00928e-05,2.00928e-05
46,124.875,2.33103,5.25192,2.05679,0.51868,0.01194,0.0081,0.00625,3.03421,4.71503,2.47723,1.7004e-05,1.7004e-05,1.7004e-05
47,127.46,2.3112,5.33907,2.06207,0.51751,0.01194,0.00805,0.00599,3.06128,4.73397,2.49012,1.39152e-05,1.39152e-05,1.39152e-05
48,129.943,2.27366,5.25441,1.98271,0.54896,0.01194,0.00804,0.00626,3.06738,4.73423,2.49081,1.08264e-05,1.08264e-05,1.08264e-05
49,132.416,2.23104,5.17146,1.96685,0.57521,0.01194,0.00811,0.00628,3.08607,4.73364,2.49549,7.7376e-06,7.7376e-06,7.7376e-06
50,134.887,2.23206,5.36415,2.01179,0.54404,0.01194,0.0082,0.00639,3.0832,4.72699,2.50125,4.6488e-06,4.6488e-06,4.6488e-06
